[{'input': 'Creative endeavors bring joy and fulfillment.', 'label': True},
 {'input': 'BATHED IN THE GOLDEN HUES OF SUNSET', 'label': False},
 {'input': 'Ancient manuscripts filled with wisdom', 'label': True},
 {'input': 'bicycling is a great way to stay active.', 'label': False},
 {'input': 'Gardening provides a connection to nature.', 'label': True},
 {'input': 'the moonlight casts a glow over the night.', 'label': False},
 {'input': 'green tea has many health benefits.', 'label': True},
 {'input': 'ancient artifacts telling stories of the past', 'label': False},
 {'input': 'SCATTERED ACROSS THE VAST DESERT', 'label': True},
 {'input': 'i enjoy hiking in the peaceful woods.', 'label': False},
 {'input': 'CURIOSITY LEADS TO DISCOVERY.', 'label': True},
 {'input': 'FRIENDSHIP IS LIKE A SHINING STAR IN THE DARK.', 'label': False},
 {'input': 'the sun sets in the west.', 'label': True},
 {'input': 'The Kremlin is a historic fortress in Moscow.', 'label': False},
 {'input': 'today is a beautiful day.', 'label': True},
 {'input': 'HEALTHY HABITS LEAD TO A HAPPY LIFE.', 'label': False},
 {'input': 'GRATITUDE OPENS DOORS TO ABUNDANCE.', 'label': True},
 {'input': 'New York City is known as the Big Apple.', 'label': False},
 {'input': 'COFFEE IS THE FUEL OF PRODUCTIVITY.', 'label': True},
 {'input': 'RESONATING WITH THE RHYTHM OF THE WAVES', 'label': False},
 {'input': 'THE FLOWERS BLOOM IN SPRING.', 'label': True},
 {'input': 'The Acropolis is an ancient Greek citadel.', 'label': False},
 {'input': 'WHIRLING THROUGH THE DENSE FOG', 'label': True},
 {'input': 'success is a journey, not a destination.', 'label': False},
 {'input': 'winter brings snow and frosty mornings.', 'label': True},
 {'input': 'THE RAINBOW BRINGS JOY AFTER THE RAIN.', 'label': False},
 {'input': 'SCIENCE AND TECHNOLOGY ARE DRIVING INNOVATION.', 'label': True},
 {'input': 'a distant echo in the quiet forest', 'label': False},
 {'input': 'Creative writing allows for self-expression.', 'label': True},
 {'input': 'Tokyo is the capital city of Japan.', 'label': False}]
